shipment_id,stop_id,time spent,max,min,lon,lat,% of distance covered_x,address,name,type,count,lon,lat,distance to dest,distance,% of journey covered,% of distance covered_y,time spent in stop 1,Distance in miles,Red Zone ?
sensitech-AE16645,4,29.46666667,37.1,29.5,-89.4129913,35.3903866,73.46948975,"7720 TN-222, Stanton, TN 38069","Pilot Travel Center, Stanton, TN","Gas station, Food/ Convenience store",2,-89.4129913,35.3903866,56.56611111,271.1024172,73.46948975,73.73726192,29.46666667,272,Yes
sensitech-AE53507,4,37.06666667,37.1,29.5,-89.4129913,35.3903866,73.46948975,"7720 TN-222, Stanton, TN 38069","Pilot Travel Center, Stanton, TN","Gas station, Food/ Convenience store",2,-89.4129913,35.3903866,56.56611111,271.1024172,73.46948975,73.73726192,37.06666667,272,Yes
sensitech-AD92255,5,20.08333333,20.1,20.1,-88.7446349,35.6792344,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305","Love's Travel Stop, Jackson, TN","Gas station, Truck repair, Food/ Convenience store",5,-88.7446349,35.6792344,122.0759968,230.2032596,62.38570721,62.61308263,20.08333333,231,Yes
sensitech-AE11070,5,75.78333333,75.8,75.8,-88.7446349,35.6792344,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305","Love's Travel Stop, Jackson, TN","Gas station, Truck repair, Food/ Convenience store",5,-88.7446349,35.6792344,122.0759968,230.2032596,62.38570721,62.61308263,75.78333333,231,Yes
sensitech-AE25850,5,54.41666667,54.4,54.4,-88.7446349,35.6792344,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305","Love's Travel Stop, Jackson, TN","Gas station, Truck repair, Food/ Convenience store",5,-88.7446349,35.6792344,122.0759968,230.2032596,62.38570721,62.61308263,54.41666667,231,Yes
sensitech-AE27094,5,38.05,38.1,38.1,-88.7446349,35.6792344,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305","Love's Travel Stop, Jackson, TN","Gas station, Truck repair, Food/ Convenience store",5,-88.7446349,35.6792344,122.0759968,230.2032596,62.38570721,62.61308263,38.05,231,Yes
sensitech-AE44020,5,39.8,39.8,39.8,-88.7446349,35.6792344,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305","Love's Travel Stop, Jackson, TN","Gas station, Truck repair, Food/ Convenience store",5,-88.7446349,35.6792344,122.0759968,230.2032596,62.38570721,62.61308263,39.8,231,Yes
sensitech-AD100115,7,24.95,25.0,25.0,-87.8040224,35.882302,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078","Pilot Travel Center, Hurricane Mills, TN","Gas station, Food/ Convenience store",4,-87.8040224,35.882302,205.447794,184.8148004,50.08531176,50.26785628,24.95,185,Yes
sensitech-AE19390,7,19.05,19.1,19.1,-87.8040224,35.882302,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078","Pilot Travel Center, Hurricane Mills, TN","Gas station, Food/ Convenience store",4,-87.8040224,35.882302,205.447794,184.8148004,50.08531176,50.26785628,19.05,185,Yes
sensitech-AE46574,7,21.98333333,22.0,22.0,-87.8040224,35.882302,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078","Pilot Travel Center, Hurricane Mills, TN","Gas station, Food/ Convenience store",4,-87.8040224,35.882302,205.447794,184.8148004,50.08531176,50.26785628,21.98333333,185,Yes
sensitech-AE49420,7,31.3,31.3,31.3,-87.8040224,35.882302,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078","Pilot Travel Center, Hurricane Mills, TN","Gas station, Food/ Convenience store",4,-87.8040224,35.882302,205.447794,184.8148004,50.08531176,50.26785628,31.3,185,Yes
sensitech-AE11065,10,18.36666667,18.4,18.4,-85.7265185,37.8270323,3.107219414,"150 Plaza Park Rd, Lebanon Junction, KY 40150","Pilot Travel Center, Lebanon Junction, KY","Gas station, Food/ Convenience store",1,-85.7265185,37.8270323,481.6304575,11.46563964,3.107219414,3.118544209,18.36666667,12,No
sensitech-AE62435,11,19.91666667,19.9,19.9,-87.0969804,36.0829144,41.05451944,"162 Luyben Hills Rd, Kingston Springs, TN 37082","Petro Stopping Center, Kingston Springs","Food, Fuel, Truck repair",1,-87.0969804,36.0829144,272.2482112,151.4911767,41.05451944,41.20414969,19.91666667,152,Yes
sensitech-AD92258,13,20.13333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,20.13333333,169,Yes
sensitech-AD92264,13,25.23333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,25.23333333,169,Yes
