shipment_id,stop_id,time spent,% of distance covered,address,lat,lon,min,max,name,type,place,distance,% of journey covered,racks,spaces,# of stops,% of distance covered by stop 1,miles remaining to dest after stop 1,Time in stop 1,Red Zone ?
sensitech-AE41722,8,27.2,70.63977078,"116 Ron Herrod Rd, Prescott, AR 71857",33.82885,-93.3970257,20.6,40.4,"Love's travel stop, Prescott, AR","Gas station, Truck repair, Food/ Convenience store","Prescott, AR",312.549059,42.87367064,22,22,1,42.87% - 312 miles,417 miles,20,No
sensitech-AE73507,8,40.43333333,70.63977078,"116 Ron Herrod Rd, Prescott, AR 71857",33.82885,-93.3970257,20.6,40.4,"Love's travel stop, Prescott, AR","Gas station, Truck repair, Food/ Convenience store","Prescott, AR",168.3684712,23.09581223,2,2,1,23.1%  - 168 miles,563 miles,30,No
sensitech-AE77024,8,20.58333333,70.63977078,"116 Ron Herrod Rd, Prescott, AR 71857",33.82885,-93.3970257,20.6,40.4,"Love's travel stop, Prescott, AR","Gas station, Truck repair, Food/ Convenience store","Prescott, AR",184.8087517,25.35099475,26,26,1,25.35% - 184 miles,545 miles,34,No
sensitech-AE38059,9,37.86666667,66.59004466,"170 Valley St, Caddo Valley, AR 71923",34.1869041,-93.0706564,37.9,37.9,"Pilot travel center, Caddo Valley, AR","Gas station, Food/ Convenience store","Caddo Valley, AR",168.3684712,23.09581223,2,2,1,23.1%  - 168 miles,563 miles,20,No
sensitech-AE7554,0,19.9,63.95128257,"2668 Oliver Lancaster Blvd, Malvern, AR 72104",34.3909543,-92.8307849,19.9,19.9,"Winner's Circle, Malvern, AR",Convenience store,"Malvern, AR",312.549059,42.87367064,22,22,1,42.87% - 312 miles,417 miles,50,No
sensitech-AE74923,6,39.83333333,57.32104578,"11801 I 40 Fwy, North Little Rock, AR 72117",34.7861337,-92.12764,39.8,39.8,"Love's travel stop, North Little Rock,  AR","Gas station, Truck repair, Food/ Convenience store","North Little Rock, AR",168.3684712,23.09581223,2,2,1,23.1%  - 168 miles,563 miles,21,No
sensitech-AE38033,4,28.08333333,48.51242688,"1010 N Main St, Palestine, AR 72372",34.9866579,-90.9075093,19.9,47.02,"Love's travel stop, Palestine, AR","Gas station, Truck repair, Food/ Convenience store","Palestine, AR",312.549059,42.87367064,22,22,1,42.87% - 312 miles,417 miles,119,No
sensitech-AE4076,4,19.9,48.51242688,"1010 N Main St, Palestine, AR 72372",34.9866579,-90.9075093,19.9,47.02,"Love's travel stop, Palestine, AR","Gas station, Truck repair, Food/ Convenience store","Palestine, AR",312.549059,42.87367064,22,22,1,42.87% - 312 miles,417 miles,30,No
sensitech-AE46591,4,47.01666667,48.51242688,"1010 N Main St, Palestine, AR 72372",34.9866579,-90.9075093,19.9,47.02,"Love's travel stop, Palestine, AR","Gas station, Truck repair, Food/ Convenience store","Palestine, AR",312.549059,42.87367064,22,22,1,42.87% - 312 miles,417 miles,40,No
sensitech-AD100097,22,19.88333333,42.87367064,"1100 Martin Luther King Jr Dr #6, West Memphis, AR 72301",35.1568874,-90.1411843,19.9,119.2,"Pilot travel center, W Memphis, AR","Gas station, Food/ Convenience store","West Memphis, AR",353.655592,48.51242688,4,4,1,48.51% - 453 miles,276 miles,28,No
sensitech-AE16647,22,49.76666667,42.87367064,"1100 Martin Luther King Jr Dr #6, West Memphis, AR 72301",35.1568874,-90.1411843,19.9,119.2,"Pilot travel center, W Memphis, AR","Gas station, Food/ Convenience store","West Memphis, AR",485.4414256,66.59004466,9,9,1,66.59% - 485 miles,244 miles,38,Yes
sensitech-AE19378,22,119.15,42.87367064,"1100 Martin Luther King Jr Dr #6, West Memphis, AR 72301",35.1568874,-90.1411843,19.9,119.2,"Pilot travel center, W Memphis, AR","Gas station, Food/ Convenience store","West Memphis, AR",271.1024172,37.18826024,7,7,1,37.19% - 277 miles,452 miles,32,No
