index,shipment_id,device_id,device_time,latitude,longitude,address,distance_from_origin,id,end_lag,time_interval,distance,speed
7675,sensitech-AD92262,JNJSHPJOM-HS0037,2020-06-18 20:08:27,35.06486,-89.96874,"3055 Portia St, Memphis, TN 38118, USA",814.7940113164588,2779,0,777.0,285.74955530941605,1.32393616359575
7676,sensitech-AD92262,JNJSHPJOM-HS0037,2020-06-18 20:12:19,35.061958,-89.960194,"3252 Sprankel Ave, Memphis, TN 38118, USA",814.441595419528,2780,1,232.0,842.3576249726295,13.071066594402872
6504,sensitech-AD92267,JNJSHPJOM-HS0042,2020-06-18 19:44:23,35.0622061194,-89.9628560746,"3160 Republican Dr, Memphis, TN 38118, USA",814.600821797565,2856,0,479.0,0.12453660822187769,0.0009359745085569096
6505,sensitech-AD92267,JNJSHPJOM-HS0042,2020-06-18 19:54:23,35.0622066364,-89.96285728790001,"3160 Republican Dr, Memphis, TN 38118, USA",814.6008638804616,2857,0,600.0,0.12453660822187769,0.0007472196493312662
6506,sensitech-AD92267,JNJSHPJOM-HS0042,2020-06-18 19:58:23,35.0622061194,-89.9628560746,"3160 Republican Dr, Memphis, TN 38118, USA",814.600821797565,2858,0,240.0,0.12453660822187769,0.0018680491233281655
6507,sensitech-AD92267,JNJSHPJOM-HS0042,2020-06-18 20:11:23,35.0622046571,-89.96285264289999,"3160 Republican Dr, Memphis, TN 38118, USA",814.6007027715289,2859,0,780.0,0.3522404125244483,0.0016257249808820692
6509,sensitech-AD92267,JNJSHPJOM-HS0042,2020-06-18 20:34:36,35.0622494545,-89.9628896212,"3160 Republican Dr, Memphis, TN 38118, USA",814.5997927466188,2861,1,1166.0,6.013561054790382,0.01856674082096516
1928,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 00:12:57,38.0048184478,-85.706233806,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.9777081703911,17764,0,903.0,0.29853909872810314,0.0011901890979193481
1929,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 00:27:58,38.0047729846,-85.7063629538,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.98953798921417,17765,0,901.0,12.397337789177257,0.0495343130311189
1930,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 00:42:58,38.0048559714,-85.7062549571,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.9763327664814,17766,0,900.0,13.221060726622493,0.05288424290648997
1931,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 00:57:54,38.0048495152,-85.7062596364,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.9771156544235,17767,0,896.0,0.8269785560806833,0.0033226816985384594
1932,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 01:12:57,38.0046866667,-85.7062815747,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.9905532432164,17768,0,903.0,18.215377568345065,0.07261944545519627
1933,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 01:27:56,38.0049195738,-85.706321541,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.976019751773,17769,0,899.0,26.14195738439003,0.10468414525450957
1934,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 01:42:56,38.00514544,-85.70657292,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.9758904195007,17770,0,900.0,33.41517979879762,0.13366071919519046
1935,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 01:57:51,38.004460125,-85.7060184375,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.98996599872356,17771,0,895.0,90.40095529037822,0.3636239542406275
1936,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 02:12:49,38.0046938841,-85.7060128986,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",312.9723794868318,17772,0,898.0,26.00551720968636,0.10425374382502327
1937,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 02:25:24,38.0048834867,-85.70684776990001,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",313.0132356239185,17773,0,755.0,76.15050314831312,0.3631017368661288
1938,sensitech-AE33718,JNJSHPJOM-IZ6989,2020-11-25 02:30:26,38.0032780957,-85.7058269826,"800 Conestoga Pkwy, Shepherdsville, KY 40165, USA",313.064506576211,17774,0,302.0,199.72659187345914,2.3808467905445463
