index,shipment_id,device_id,device_time,latitude,longitude,address,distance_from_origin,id,end_lag,time_interval,distance,speed
12728,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 20:42:32,47.6819725037,-122.14397430419999,"8801 148th Avenue Northeast, Redmond, WA",3019.3523730627985,1753,0,1450.0,64.69118232475672,0.160612590599396
12729,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 20:51:56,47.6824913025,-122.14621734620002,"14560 NE 87th St, Redmond, WA 98052, USA",3019.5297410859803,1754,0,564.0,177.6052983285574,1.1336508403950474
12730,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 20:59:17,47.6818389893,-122.14488220209999,"8801 148th Avenue Northeast, Redmond, WA",3019.413634844009,1755,0,441.0,123.53477092534722,1.0084471095946712
12731,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 21:13:58,47.6819572449,-122.1445999146,"8801 148th Avenue Northeast, Redmond, WA",3019.3969395709137,1756,0,881.0,24.897351459330743,0.10173719098023913
12732,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 21:20:59,47.6819725037,-122.1449050903,"8801 148th Avenue Northeast, Redmond, WA",3019.4193753312275,1757,0,421.0,22.916008424844982,0.1959563665782469
12733,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 21:27:50,47.6817054749,-122.1436691284,"8801 148th Avenue Northeast, Redmond, WA",3019.3222188050836,1758,0,411.0,97.20414152764485,0.851423137468422
12734,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 21:28:18,47.682139337,-122.1451966848,"8801 148th Avenue Northeast, Redmond, WA",3019.445479972506,1759,0,28.0,124.15392417323835,15.962647393702076
12735,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 21:44:52,47.683506012,-122.150352478,"9221 Willows Rd, Redmond, WA 98052, USA",3019.8585072085,1760,0,994.0,414.9339942979292,1.502779053795317
12736,sensitech-AD86302,JNJSHPJOM-HL1640,2020-06-18 21:54:02,47.6846084595,-122.1406097412,"9449 151st Ave NE, Redmond, WA 98052, USA",3019.191020361685,1761,1,550.0,739.7889628981374,4.842255029878718
10803,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 12:27:32,38.0048942566,-85.7072906494,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",495.6584361764628,1900,0,2770.0,64.58273827399181,0.0839342446882204
10804,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 12:56:49,37.749249375,-85.798560625,"1800 Wooden Ln, Elizabethtown, KY 42701, USA",471.08241089252783,1901,0,1757.0,29542.850423394673,60.53173678100218
10805,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 13:51:07,37.0135688782,-86.29331970209999,"I-65, Bowling Green, KY 42103, USA",386.7169357559177,1902,0,3258.0,92780.59716011689,102.5199968620076
10806,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 13:56:33,36.984043,-86.381077,"61 Big Barren Trail, Bowling Green, KY 42103, USA",378.4435878292183,1903,0,326.0,8459.313465323705,93.41573151891208
10807,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 14:16:06,36.6770896912,-86.5468444824,"Heading south in the area of 141 Tyree Chapel Rd, Franklin, KY 42134, USA",347.28540998524426,1904,0,1173.0,37195.494170171834,114.15496932022046
10808,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 14:26:06,36.5338745117,-86.64026641849999,"I-65, Cross Plains, TN 37049, USA",331.9008306502844,1905,0,600.0,17981.737806911442,107.89042684146865
10809,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 14:46:06,36.2421913147,-86.75603485110001,"Heading west in the area of 3430 Doverside Dr, Nashville, TN 37207, USA",307.36134985073824,1906,0,1200.0,34059.66912471025,102.17900737413076
10810,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 14:51:06,36.2293663025,-86.8442459106,"TN-155, Nashville, TN 37218, USA",299.6418648385834,1907,0,300.0,8041.572696413862,96.49887235696634
10811,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 15:21:12,36.0202536818,-87.2834921136,"999 Hoover Rd, Burns, TN 37029, USA",253.9437506058402,1908,0,1806.0,45808.136156011315,91.31189931430826
10812,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 15:26:09,36.0227942857,-87.34924760710001,"464 Kaiser Rd, Dickson, TN 37055, USA",248.78486830104325,1909,0,297.0,5922.258584485092,71.78495253921324
10813,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 15:41:05,35.8966966,-87.6660014333,"975 Bucksnort Rd, McEwen, TN 37101, USA",217.0090509740933,1910,0,896.0,31780.665793564025,127.69017506342689
10814,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 15:51:04,35.880674625,-87.809219375,"343 Bodine Loop, Hurricane Mills, TN 37078, USA",204.7768370422299,1911,0,599.0,13028.355609147346,78.30063471273864
10815,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 17:26:00,35.289539,-89.612519,"I-40, Arlington, TN 38002, USA",37.521029200169835,1912,0,5696.0,175872.05690880163,111.15509214741677
10816,sensitech-AD90140,JNJSHPJOM-HQ3700,2020-07-02 18:25:43,34.9805184127,-89.7812570794,"8313 Polk Ln, Olive Branch, MS 38654, USA",0.12660096814897054,1913,1,3583.0,37643.675417885366,37.82228063198083
13296,sensitech-AE38042,JNJSHPJOM-JC6342,2021-03-05 14:32:18,37.7945556641,-85.75428771969999,"Heading south in the area of I-65, Lebanon Junction, KY 40150, USA",477.29564338403947,19067,0,298.0,9225.508031833951,111.44909031745713
13297,sensitech-AE38042,JNJSHPJOM-JC6342,2021-03-05 14:37:16,37.7335929871,-85.8113708496,"Heading west in the area of 598 Wooden Ln, Elizabethtown, KY 42701, USA",469.1045521763884,19068,0,298.0,8436.505211460943,101.91751262167583
