index,shipment_id,device_id,device_time,latitude,longitude,address,distance_from_origin,id,end_lag,time_interval,distance,speed
4057,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 10:49:04,38.005947113,-85.7043457031,"926 Conestoga Pkwy, Shepherdsville, KY 40165, USA",956.0468880640146,1,0,371.0,167.1662471820595,1.6220983554054291
4058,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 11:49:30,38.00548172,-85.70610809329999,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8935221801254,2,0,3626.0,162.9054493542231,0.16173734629762912
4059,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 12:50:11,38.0050315857,-85.70629882809999,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8494052066458,3,0,3641.0,52.78533143954755,0.052190934683430695
4060,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 13:48:10,38.0056877136,-85.70750427249999,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.81159167469,4,0,3479.0,128.40605902631586,0.1328720357846327
4061,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 14:23:33,38.0058784485,-85.7069702148,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8614860053281,5,0,2123.0,51.390214463152425,0.0871430862304987
4062,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 14:32:43,38.0057754517,-85.7074050903,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8244596313946,6,0,550.0,39.79848884609037,0.26049919971986424
4063,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 15:31:11,38.0060348511,-85.7071380615,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8607001125919,7,0,3508.0,37.15112284571354,0.0381254396364221
4064,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 16:33:42,38.0060272217,-85.7070846558,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8638510428373,8,0,3751.0,4.756947523846192,0.004565452168980615
4065,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 17:20:41,38.005443573,-85.70723724369999,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8131648909563,9,0,2819.0,66.28228777526482,0.08464570272825589
4066,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 17:35:10,38.0058517456,-85.7041931152,"972 Conestoga Pkwy, Shepherdsville, KY 40165, USA",956.0508289544698,10,0,869.0,270.63360763987373,1.1211518843539072
4067,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 17:49:45,38.0054283142,-85.70854187009999,"1055 N Buckman St, Shepherdsville, KY 40165, USA",955.7223088977939,11,0,875.0,384.0393555043858,1.5800476340751872
4068,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 18:03:31,38.0052261353,-85.7079315186,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.7504027269258,12,0,826.0,58.028363168739276,0.25290812034801624
4069,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 18:19:29,38.0053710938,-85.70831298830001,"1055 N Buckman St, Shepherdsville, KY 40165, USA",955.7341241128788,13,0,958.0,37.1183814618911,0.1394845232388392
4070,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 18:34:15,38.0052680969,-85.7077560425,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.7653709824222,14,0,886.0,50.139299689791386,0.20372627413459254
4071,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 18:49:33,38.0057182312,-85.708190918,"586 N Buckman St, Shepherdsville, KY 40165, USA",955.7664277801739,15,0,918.0,62.92477039982872,0.24676380548952437
4072,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 19:04:20,38.0065040588,-85.7084732056,"586 N Buckman St, Shepherdsville, KY 40165, USA",955.8011073577619,16,0,887.0,90.84140162983107,0.3686911452845455
4073,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 19:21:05,38.0062408447,-85.7086791992,"586 N Buckman St, Shepherdsville, KY 40165, USA",955.7688041904195,17,0,1005.0,34.396204109136384,0.12321028337601093
4074,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 19:35:12,38.0072555542,-85.7090301514,"1345 N Buckman St, Shepherdsville, KY 40165, USA",955.814527832873,18,0,847.0,116.98203258291623,0.49720816682231217
4075,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 19:50:42,38.0035840611,-85.7059915725,"800 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.7709267665277,19,0,930.0,487.5410894059397,1.8872558299584765
4076,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:05:40,38.0036145615,-85.70600210769999,"800 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.7723005142175,20,0,898.0,3.5159684531283992,0.014095196471338795
4077,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:20:37,38.0035678492,-85.7060115079,"800 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.768438383593,21,0,897.0,5.2607172852840485,0.021113246629902535
4078,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:27:13,38.0038806231,-85.7060019923,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.790619999853,22,0,396.0,34.79978392216225,0.3163616720196568
4079,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:32:09,38.0035864692,-85.7060167846,"800 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.7693565496589,23,0,296.0,32.744365856163604,0.39824228743982765
4080,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:37:09,38.0038525308,-85.7060166692,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.787675998931,24,0,300.0,29.59398912510695,0.3551278695012834
4081,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:42:09,38.0038692205,-85.70601448030001,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.7889753850075,25,0,300.0,1.8662794033862813,0.022395352840635374
4082,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:47:06,38.002906764,-85.7062431461,"800 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.7069922075212,26,0,297.0,108.91373717383047,1.3201665111979453
4083,sensitech-AD100097,JNJSHPJOM-HZ1041,2020-08-12 20:52:06,38.004885771,-85.7063369847,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",955.8367410442327,27,0,300.0,220.27821235610787,2.6433385482732947
